control_id,outer_hebrew,first_reference,consonant_family,first_value,first_base12,full_value,full_base12,completion_hit
C0002602,אבאה,Judg.15.1,אאבה,9,9,519,373,yes
C0002618,אביב,Exod.9.31,אבבי,15,13,531,383,yes
C0002654,אגדת,Exod.12.22,אגדת,408,2A0,1317,919,yes
C0002667,אדאג,Ps.38.19,אאגד,9,9,519,373,yes
C0002672,אדוש,Isa.28.28,אדוש,311,21B,1123,797,yes
C0002692,אהבת,1Sam.20.17,אבהת,408,2A0,1317,919,yes
C0002731,אופר,Gen.10.29,אופר,287,1BB,1075,757,yes
C0002739,אורת,Isa.26.19,אורת,607,427,1715,BAB,yes
C0002755,אזלת,Deut.32.36,אזלת,438,306,1377,969,yes
C0002762,אזעק,Hab.1.2,אזעק,178,12A,857,5B5,yes
C0002768,אחבש,Ezek.34.16,אבחש,311,21B,1123,797,yes
C0002777,אחזה,Gen.47.11,אהזח,21,19,543,393,yes
C0002783,אחחי,2Sam.23.9,אחחי,27,23,555,3A3,yes
C0002797,אחסר,Ps.23.1,אחסר,269,1A5,1039,727,yes
C0002806,אחתה,Exod.26.3,אהחת,414,2A6,1329,929,yes
C0002823,אידו,Obad.1.13,אדוי,21,19,543,393,yes
C0002847,אישו,1Kgs.20.20,אויש,317,225,1135,7A7,yes
C0002855,אכבד,1Sam.2.30,אבדכ,27,23,555,3A3,yes
C0002859,אכחד,Job.27.11,אדחכ,33,29,567,3B3,yes
C0002933,אמצה,Zech.12.5,אהמצ,136,B4,773,545,yes
C0002997,אפגע,Isa.47.3,אגעפ,154,10A,809,575,yes
C0003050,אקוה,Job.17.13,אהוק,112,94,725,505,yes
C0003080,ארות,1Kgs.5.6,אורת,607,427,1715,BAB,yes
C0003095,אריק,Exod.15.9,איקר,311,21B,1123,797,yes
C0003111,ארצח,Prov.22.13,אחצר,299,20B,1099,777,yes
C0003119,ארשע,Job.9.29,אערש,571,3B7,1643,B4B,yes
C0003140,אשכב,Job.7.21,אבכש,323,22B,1147,7B7,yes
C0003163,אשקר,Ps.89.34,אקרש,601,421,1703,B9B,yes
C0003177,אתכה,Exod.29.35,אהכת,426,2B6,1353,949,yes
C0003180,אתנה,1Kgs.21.2,אהנת,456,320,1413,999,yes
C0003188,באבי,Song.6.11,אבבי,15,13,531,383,yes
C0003197,באחד,2Chr.29.17,אבדח,15,13,531,383,yes
C0003240,באתה,2Sam.3.7,אבהת,408,2A0,1317,919,yes
C0003246,בבאי,Ezek.43.3,אבבי,15,13,531,383,yes
C0003259,בבית,1Chr.5.36,בבית,414,2A6,1329,929,yes
C0003276,בבתי,Jer.43.12,בבית,414,2A6,1329,929,yes
C0003280,בגדו,2Kgs.4.39,בגדו,15,13,531,383,yes
C0003284,בגוד,Isa.48.8,בגדו,15,13,531,383,yes
C0003285,בגוי,2Chr.15.6,בגוי,21,19,543,393,yes
C0003308,בדיה,Ezek.19.14,בדהי,21,19,543,393,yes
C0003337,בהרת,Lev.13.2,בהרת,607,427,1715,BAB,yes
C0003338,בואו,Mal.3.2,אבוו,15,13,531,383,yes
C0003341,בוגד,Hab.2.5,בגדו,15,13,531,383,yes
C0003352,בוקע,Eccl.10.9,בועק,178,12A,857,5B5,yes
C0003393,בחית,Hos.4.3,בחית,420,2B0,1341,939,yes
C0003409,בחמת,2Chr.8.4,בחמת,450,316,1401,989,yes
C0003449,בידה,Deut.24.1,בדהי,21,19,543,393,yes
C0003464,בינת,Prov.30.2,בינת,462,326,1425,9A9,yes
C0003468,ביצי,Isa.59.5,בייצ,112,94,725,505,yes
C0003505,בכפי,1Chr.12.18,ביכפ,112,94,725,505,yes
C0003540,בלות,Josh.9.5,בולת,438,306,1377,969,yes
C0003547,בלעי,Job.7.19,בילע,112,94,725,505,yes
C0003571,במעל,Ezra.9.2,בלמע,142,BA,785,555,yes
C0003572,במצד,1Chr.11.7,בדמצ,136,B4,773,545,yes
C0003573,במקל,Num.22.27,בלמק,172,124,845,5A5,yes
C0003590,בנדת,Ezra.9.11,בדנת,456,320,1413,999,yes
C0003591,בנהר,1Chr.18.3,בהנר,257,195,1015,707,yes
C0003603,בנית,1Kgs.8.48,בינת,462,326,1425,9A9,yes
C0003612,בנפש,1Sam.18.1,בנפש,432,300,1365,959,yes
C0003619,בנתי,1Kgs.8.44,בינת,462,326,1425,9A9,yes
C0003634,בספל,Judg.5.25,בלספ,172,124,845,5A5,yes
C0003669,בעלי,1Sam.23.11,בילע,112,94,725,505,yes
C0003672,בעמו,1Sam.27.12,בומע,118,9A,737,515,yes
C0003675,בעמל,Judg.10.16,בלמע,142,BA,785,555,yes
C0003688,בעצי,1Kgs.5.22,ביעצ,172,124,845,5A5,yes
C0003718,בפלס,Isa.40.12,בלספ,172,124,845,5A5,yes
C0003719,בפני,Ezek.42.12,בינפ,142,BA,785,555,yes
C0003720,בפסל,Isa.42.17,בלספ,172,124,845,5A5,yes
C0003761,בצרת,Jer.17.8,בצרת,692,498,1885,1111,yes
C0003772,בקלי,Exod.4.1,בילק,142,BA,785,555,yes
C0003780,בקעו,Isa.59.5,בועק,178,12A,857,5B5,yes
C0003794,בקשו,1Chr.16.11,בוקש,408,2A0,1317,919,yes
C0003807,ברגע,Isa.54.7,בגער,275,1AB,1051,737,yes
C0003813,ברור,Isa.49.2,בורר,408,2A0,1317,919,yes
C0003840,ברנה,2Chr.20.22,בהנר,257,195,1015,707,yes
C0003863,בשדה,1Chr.1.46,בדהש,311,21B,1123,797,yes
C0003870,בשוט,Job.5.21,בוטש,317,225,1135,7A7,yes
C0003872,בשוק,Eccl.12.4,בוקש,408,2A0,1317,919,yes
C0003912,בשקו,Gen.42.35,בוקש,408,2A0,1317,919,yes
C0003913,בשקל,2Kgs.7.1,בלקש,432,300,1365,959,yes
C0003954,גאוה,Job.41.7,אגהו,15,13,531,383,yes
C0003966,גבהה,1Kgs.14.23,בגהה,15,13,531,383,yes
C0003990,גדיי,Gen.27.9,גדיי,27,23,555,3A3,yes
C0003992,גדיש,Exod.22.5,גדיש,317,225,1135,7A7,yes
C0004003,גדרת,Num.32.16,גדרת,607,427,1715,BAB,yes
C0004022,גזזי,Gen.38.12,גזזי,27,23,555,3A3,yes
C0004023,גזית,1Chr.22.2,גזית,420,2B0,1341,939,yes
C0004037,גידי,Job.40.17,גדיי,27,23,555,3A3,yes
C0004058,גלתה,Lam.1.3,גהלת,438,306,1377,969,yes
C0004091,גרני,Isa.21.10,גינר,263,19B,1027,717,yes
C0004095,גררה,Gen.10.19,גהרר,408,2A0,1317,919,yes
C0004100,גרתי,Gen.32.5,גירת,613,431,1727,BBB,yes
C0004110,דאגת,Isa.57.11,אגדת,408,2A0,1317,919,yes
C0004117,דבקו,2Sam.20.2,בדוק,112,94,725,505,yes
C0004137,דדתו,Exod.6.20,דדות,414,2A6,1329,929,yes
C0004160,דיות,Isa.34.15,דוית,420,2B0,1341,939,yes
C0004178,דלתי,Job.3.10,דילת,444,310,1389,979,yes
C0004179,דמות,2Kgs.16.10,דומת,450,316,1401,989,yes
C0004190,דמשק,1Kgs.11.24,דמקש,444,310,1389,979,yes
C0004216,דשאו,Joel.2.22,אדוש,311,21B,1123,797,yes
C0004222,האבת,Lev.19.31,אבהת,408,2A0,1317,919,yes
C0004230,האזב,Lev.14.6,אבהז,15,13,531,383,yes
C0004233,האחז,Num.31.47,אהזח,21,19,543,393,yes
C0004235,האחת,1Chr.27.1,אהחת,414,2A6,1329,929,yes
C0004238,האיה,Deut.14.13,אההי,21,19,543,393,yes
C0004271,האשה,1Kgs.3.17,אההש,311,21B,1123,797,yes
C0004283,הבאת,1Sam.20.8,אבהת,408,2A0,1317,919,yes
C0004297,הביש,Jer.10.14,בהיש,317,225,1135,7A7,yes
C0004321,הגבה,Ezek.21.31,בגהה,15,13,531,383,yes
C0004338,הגלת,Jer.13.19,גהלת,438,306,1377,969,yes
C0004351,הדאה,Lev.11.14,אדהה,15,13,531,383,yes
C0004353,הדבש,1Sam.14.27,בדהש,311,21B,1123,797,yes
C0004376,ההיא,1Chr.21.28,אההי,21,19,543,393,yes
C0004380,ההמת,Jer.26.19,ההמת,450,316,1401,989,yes
C0004390,הודו,1Chr.16.8,דהוו,21,19,543,393,yes
C0004419,הורק,Jer.48.11,הוקר,311,21B,1123,797,yes
C0004447,החדש,1Chr.27.4,דהחש,317,225,1135,7A7,yes
C0004448,החוח,2Chr.25.18,הוחח,27,23,555,3A3,yes
C0004477,החפר,2Kgs.14.25,החפר,293,205,1087,767,yes
C0004481,החקה,Exod.13.10,ההחק,118,9A,737,515,yes
C0004495,הטבה,Deut.6.18,בההט,21,19,543,393,yes
C0004509,הטתו,Prov.7.21,הוטת,420,2B0,1341,939,yes
C0004519,היחש,Neh.7.5,החיש,323,22B,1147,7B7,yes
C0004532,היסר,Ps.94.10,היסר,275,1AB,1051,737,yes
C0004538,היצר,Isa.29.16,היצר,305,215,1111,787,yes
C0004551,הישב,1Kgs.9.16,בהיש,317,225,1135,7A7,yes
C0004554,היתה,1Chr.7.23,ההית,420,2B0,1341,939,yes
C0004585,הכפר,Song.1.14,הכפר,305,215,1111,787,yes
C0004664,המעט,Deut.7.7,הטמע,124,A4,749,525,yes
C0004666,המצא,Exod.22.3,אהמצ,136,B4,773,545,yes
C0004676,המתה,Zech.11.9,ההמת,450,316,1401,989,yes
C0004704,הנכר,1Sam.7.3,הכנר,275,1AB,1051,737,yes
C0004720,הנקה,Jer.25.29,ההנק,160,114,821,585,yes
C0004741,הסיר,1Chr.13.13,היסר,275,1AB,1051,737,yes
C0004773,העור,Deut.28.29,הוער,281,1B5,1063,747,yes
C0004804,הערל,1Sam.17.26,הלער,305,215,1111,787,yes
C0004858,הצמא,Isa.29.8,אהמצ,136,B4,773,545,yes
C0004866,הצרי,Jer.8.22,היצר,305,215,1111,787,yes
C0004869,הקבה,Num.25.8,בההק,112,94,725,505,yes
C0004888,הקנה,1Kgs.14.15,ההנק,160,114,821,585,yes
C0004890,הקסת,Ezek.9.11,הסקת,565,3B1,1631,B3B,yes
C0004946,הרעו,Jer.7.26,הוער,281,1B5,1063,747,yes
C0004962,השבי,Exod.12.29,בהיש,317,225,1135,7A7,yes
C0004975,השחד,Deut.16.19,דהחש,317,225,1135,7A7,yes
C0004977,השחי,Job.18.1,החיש,323,22B,1147,7B7,yes
C0004986,השיב,1Sam.25.39,בהיש,317,225,1135,7A7,yes
C0005019,השקט,Ezek.16.49,הטקש,414,2A6,1329,929,yes
C0005075,ואיד,Job.18.12,אדוי,21,19,543,393,yes
C0005078,ואיי,Esth.10.1,אויי,27,23,555,3A3,yes
C0005082,ואיש,1Kgs.20.35,אויש,317,225,1135,7A7,yes
C0005119,ואפר,Dan.9.3,אופר,287,1BB,1075,757,yes
C0005144,ואשד,Num.21.15,אדוש,311,21B,1123,797,yes
C0005156,ובאו,1Chr.16.29,אבוו,15,13,531,383,yes
C0005165,ובגד,Gen.28.20,בגדו,15,13,531,383,yes
C0005166,ובגי,Josh.19.27,בגוי,21,19,543,393,yes
C0005172,ובוא,2Chr.18.29,אבוו,15,13,531,383,yes
C0005173,ובוז,Job.31.34,בווז,21,19,543,393,yes
C0005187,ובכה,1Sam.1.10,בהוכ,33,29,567,3B3,yes
C0005217,ובקי,1Chr.5.31,בויק,118,9A,737,515,yes
C0005218,ובקע,Ps.141.7,בועק,178,12A,857,5B5,yes
C0005220,ובקש,1Sam.20.16,בוקש,408,2A0,1317,919,yes
C0005235,ובתו,1Chr.7.24,בוות,414,2A6,1329,929,yes
C0005251,וגחי,Mic.4.10,גוחי,27,23,555,3A3,yes
C0005274,ודבק,Gen.2.24,בדוק,112,94,725,505,yes
C0005328,והוד,1Chr.7.37,דהוו,21,19,543,393,yes
C0005329,והוי,Jer.22.18,הווי,27,23,555,3A3,yes
C0005343,והיו,1Chr.9.26,הווי,27,23,555,3A3,yes
C0005389,והרע,1Chr.21.17,הוער,281,1B5,1063,747,yes
C0005391,והרק,Ps.35.3,הוקר,311,21B,1123,797,yes
C0005397,וזאת,1Kgs.3.22,אוזת,414,2A6,1329,929,yes
C0005402,וזזא,1Chr.2.33,אוזז,21,19,543,393,yes
C0005420,וזרת,1Sam.17.4,וזרת,613,431,1727,BBB,yes
C0005424,וחגי,Gen.46.16,גוחי,27,23,555,3A3,yes
C0005441,וחיק,Ezek.43.13,וחיק,124,A4,749,525,yes
C0005453,וחלת,Exod.29.2,וחלת,444,310,1389,979,yes
C0005476,וחקי,2Chr.7.17,וחיק,124,A4,749,525,yes
C0005489,וחשק,Exod.38.28,וחקש,414,2A6,1329,929,yes
C0005490,וחשש,Isa.5.24,וחשש,614,432,1729,1001,yes
C0005492,וחתו,Isa.8.9,ווחת,420,2B0,1341,939,yes
C0005517,ויבט,1Chr.21.21,בוטי,27,23,555,3A3,yes
C0005530,וידא,2Kgs.17.21,אדוי,21,19,543,393,yes
C0005541,וידת,1Kgs.10.19,דוית,420,2B0,1341,939,yes
C0005550,ויזד,Gen.25.29,דוזי,27,23,555,3A3,yes
C0005563,ויטב,1Kgs.21.7,בוטי,27,23,555,3A3,yes
C0005591,וימת,1Chr.1.44,וימת,456,320,1413,999,yes
C0005594,וינע,Isa.7.2,וינע,136,B4,773,545,yes
C0005623,ויצו,1Chr.22.17,וויצ,112,94,725,505,yes
C0005624,ויצל,1Sam.7.3,וילצ,136,B4,773,545,yes
C0005632,ויקב,2Kgs.12.10,בויק,118,9A,737,515,yes
C0005635,ויקח,1Chr.2.19,וחיק,124,A4,749,525,yes
C0005654,וישא,1Chr.21.16,אויש,317,225,1135,7A7,yes
C0005667,ויתד,Deut.23.14,דוית,420,2B0,1341,939,yes
C0005706,וכנס,Isa.30.17,וכנס,136,B4,773,545,yes
C0005741,ולבת,Ezek.44.25,בולת,438,306,1377,969,yes
C0005775,ולעו,Obad.1.16,וולע,112,94,725,505,yes
C0005802,ומדת,Ps.39.5,דומת,450,316,1401,989,yes
C0005837,ומסל,Lev.8.26,ולמס,136,B4,773,545,yes
C0005847,ומפי,Isa.48.3,וימפ,136,B4,773,545,yes
C0005853,ומקח,2Chr.19.7,וחמק,154,10A,809,575,yes
C0005871,ומתי,Gen.19.19,וימת,456,320,1413,999,yes
C0005897,ונות,Ps.68.13,וונת,462,326,1425,9A9,yes
C0005919,ונסב,2Chr.14.6,בונס,118,9A,737,515,yes
C0005928,ונעש,Jer.35.10,ונעש,426,2B6,1353,949,yes
C0005930,ונפל,2Sam.3.29,ולנפ,166,11A,833,595,yes
C0005939,ונקד,Gen.30.32,דונק,160,114,821,585,yes
C0005942,ונקי,Exod.23.7,וינק,166,11A,833,595,yes
C0005946,ונרא,Isa.41.23,אונר,257,195,1015,707,yes
C0005955,ונשק,1Kgs.10.25,ונקש,456,320,1413,999,yes
C0005965,וסגר,Ezek.46.12,גוסר,269,1A5,1039,727,yes
C0005979,וסעו,Deut.1.7,ווסע,142,BA,785,555,yes
