analysis_layer,target_id,name,hebrew,source_dataset,source_row_id,word_count,word_lengths,total_letters,final_form_count,match_level,eligible_control_count,minimum_stratum_size
primary-biblical,primary-biblical:registry:1,El,אל,corpus_registry.csv,1,1,2,2,0,exact-word-vector,158,50
primary-biblical,primary-biblical:registry:2,Eloah,אלוה,corpus_registry.csv,2,1,4,4,0,exact-word-vector,7677,50
primary-biblical,primary-biblical:registry:3,Elohim,אלהים,corpus_registry.csv,3,1,5,5,1,exact-word-vector,3216,50
primary-biblical,primary-biblical:registry:4,YHWH,יהוה,corpus_registry.csv,4,1,4,4,0,exact-word-vector,7677,50
primary-biblical,primary-biblical:registry:5,Adonai,אדני,corpus_registry.csv,5,1,4,4,0,exact-word-vector,7677,50
primary-biblical,primary-biblical:registry:6,Shaddai,שדי,corpus_registry.csv,6,1,3,3,0,exact-word-vector,1847,50
primary-biblical,primary-biblical:registry:7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,corpus_registry.csv,7,3,4-3-4,11,0,exact-word-vector,2233,50
primary-biblical,primary-biblical:registry:8,El Elyon,אל עליון,corpus_registry.csv,8,2,2-5,7,1,exact-word-vector,1445,50
primary-biblical,primary-biblical:registry:9,El Olam,אל עולם,corpus_registry.csv,9,2,2-4,6,1,exact-word-vector,1940,50
primary-biblical,primary-biblical:registry:10,El Roi,אל ראי,corpus_registry.csv,10,2,2-3,5,0,exact-word-vector,2050,50
primary-biblical,primary-biblical:registry:11,El Gibbor,אל גבור,corpus_registry.csv,11,2,2-4,6,0,exact-word-vector,3488,50
primary-biblical,primary-biblical:registry:12,El Yeshuati,אל ישועתי,corpus_registry.csv,12,2,2-6,8,0,exact-word-vector,783,50
primary-biblical,primary-biblical:registry:22,Adon,אדון,corpus_registry.csv,22,1,4,4,1,exact-word-vector,2130,50
primary-biblical,primary-biblical:registry:23,Elohei HaShamayim,אלהי השמים,corpus_registry.csv,23,2,4-5,9,1,exact-word-vector,4438,50
primary-biblical,primary-biblical:registry:24,Elohei HaAretz,אלהי הארץ,corpus_registry.csv,24,2,4-4,8,1,exact-word-vector,6320,50
primary-biblical,primary-biblical:registry:25,El Shaddai,אל שדי,corpus_registry.csv,25,2,2-3,5,0,exact-word-vector,2050,50
primary-biblical,primary-biblical:registry:26,El Kana,אל קנא,corpus_registry.csv,26,2,2-3,5,0,exact-word-vector,2050,50
primary-biblical,primary-biblical:registry:27,El De’ot,אל דעות,corpus_registry.csv,27,2,2-4,6,0,exact-word-vector,3488,50
primary-biblical,primary-biblical:registry:29,El HaNe’eman,האל הנאמן,corpus_registry.csv,29,2,3-5,8,1,exact-word-vector,3183,50
primary-biblical,primary-biblical:registry:30,El HaGadol,האל הגדול,corpus_registry.csv,30,2,3-5,8,0,exact-word-vector,4824,50
primary-biblical,primary-biblical:registry:32,El HaKavod,אל הכבוד,corpus_registry.csv,32,2,2-5,7,0,exact-word-vector,2173,50
primary-biblical,primary-biblical:registry:35,Elohei Avraham,אלהי אברהם,corpus_registry.csv,35,2,4-5,9,1,exact-word-vector,4438,50
primary-biblical,primary-biblical:registry:36,Elohei Yitzchak,אלהי יצחק,corpus_registry.csv,36,2,4-4,8,0,exact-word-vector,9804,50
primary-biblical,primary-biblical:registry:37,Elohei Yaakov,אלהי יעקב,corpus_registry.csv,37,2,4-4,8,0,exact-word-vector,9804,50
expanded-biblical-all,expanded-biblical-all:registry:1,El,אל,corpus_registry.csv,1,1,2,2,0,exact-word-vector,158,50
expanded-biblical-all,expanded-biblical-all:registry:2,Eloah,אלוה,corpus_registry.csv,2,1,4,4,0,exact-word-vector,7677,50
expanded-biblical-all,expanded-biblical-all:registry:3,Elohim,אלהים,corpus_registry.csv,3,1,5,5,1,exact-word-vector,3216,50
expanded-biblical-all,expanded-biblical-all:registry:4,YHWH,יהוה,corpus_registry.csv,4,1,4,4,0,exact-word-vector,7677,50
expanded-biblical-all,expanded-biblical-all:registry:5,Adonai,אדני,corpus_registry.csv,5,1,4,4,0,exact-word-vector,7677,50
expanded-biblical-all,expanded-biblical-all:registry:6,Shaddai,שדי,corpus_registry.csv,6,1,3,3,0,exact-word-vector,1847,50
