analysis_layer,target_rows,value_system,base,expression_row_palindromes,expression_row_rank,distinct_value_palindromes,distinct_value_rank
primary-biblical,24,standard,2,3,5,3,5
primary-biblical,24,standard,3,6,1,4,1
primary-biblical,24,standard,4,3,5,3,5
primary-biblical,24,standard,5,3,5,3,5
primary-biblical,24,standard,6,3,5,3,5
primary-biblical,24,standard,7,5,2,4,1
primary-biblical,24,standard,8,2,10,2,10
primary-biblical,24,standard,9,2,10,1,12
primary-biblical,24,standard,10,2,10,1,12
primary-biblical,24,standard,11,3,5,3,5
primary-biblical,24,standard,12,4,3,4,1
primary-biblical,24,standard,13,2,10,2,10
primary-biblical,24,standard,14,1,14,1,12
primary-biblical,24,standard,15,0,18,0,18
primary-biblical,24,standard,16,1,14,1,12
primary-biblical,24,standard,17,1,14,1,12
primary-biblical,24,standard,18,1,14,1,12
primary-biblical,24,standard,19,0,18,0,18
primary-biblical,24,standard,20,4,3,4,1
primary-biblical,24,mispar_gadol,2,3,5,3,4
primary-biblical,24,mispar_gadol,3,6,1,5,1
primary-biblical,24,mispar_gadol,4,2,7,2,7
primary-biblical,24,mispar_gadol,5,2,7,2,7
primary-biblical,24,mispar_gadol,6,0,16,0,16
primary-biblical,24,mispar_gadol,7,4,4,3,4
primary-biblical,24,mispar_gadol,8,2,7,2,7
primary-biblical,24,mispar_gadol,9,2,7,2,7
primary-biblical,24,mispar_gadol,10,5,2,4,3
primary-biblical,24,mispar_gadol,11,3,5,3,4
primary-biblical,24,mispar_gadol,12,5,2,5,1
primary-biblical,24,mispar_gadol,13,2,7,2,7
primary-biblical,24,mispar_gadol,14,0,16,0,16
primary-biblical,24,mispar_gadol,15,0,16,0,16
primary-biblical,24,mispar_gadol,16,1,13,1,13
primary-biblical,24,mispar_gadol,17,1,13,1,13
primary-biblical,24,mispar_gadol,18,1,13,1,13
primary-biblical,24,mispar_gadol,19,0,16,0,16
primary-biblical,24,mispar_gadol,20,2,7,2,7
expanded-biblical-all,80,standard,2,9,3,9,3
expanded-biblical-all,80,standard,3,9,3,6,8
expanded-biblical-all,80,standard,4,8,6,8,4
expanded-biblical-all,80,standard,5,5,10,5,9
expanded-biblical-all,80,standard,6,8,6,8,4
expanded-biblical-all,80,standard,7,7,8,5,9
expanded-biblical-all,80,standard,8,7,8,7,7
expanded-biblical-all,80,standard,9,9,3,8,4
expanded-biblical-all,80,standard,10,4,13,2,18
expanded-biblical-all,80,standard,11,10,2,10,2
expanded-biblical-all,80,standard,12,11,1,11,1
expanded-biblical-all,80,standard,13,5,10,5,9
expanded-biblical-all,80,standard,14,3,18,3,17
expanded-biblical-all,80,standard,15,4,13,4,13
expanded-biblical-all,80,standard,16,4,13,4,13
expanded-biblical-all,80,standard,17,4,13,4,13
expanded-biblical-all,80,standard,18,4,13,4,13
expanded-biblical-all,80,standard,19,0,19,0,19
expanded-biblical-all,80,standard,20,5,10,5,9
expanded-biblical-all,80,mispar_gadol,2,8,4,8,3
expanded-biblical-all,80,mispar_gadol,3,9,2,7,4
expanded-biblical-all,80,mispar_gadol,4,6,7,6,5
expanded-biblical-all,80,mispar_gadol,5,4,10,4,10
expanded-biblical-all,80,mispar_gadol,6,4,10,4,10
