comparison,control_id,hebrew,first_reference,first_value,first_base12,full_value,full_base12,first_palindrome,full_palindrome,completion_hit
exact_4_3_4_no_finals,C0245572,אלהי אבי אלהי,Gen.31.42,46,3A,105,89,no,no,no
exact_4_3_4_no_finals,C0249228,בגדי הבד בגדי,Lev.16.32,19,17,49,41,no,no,no
exact_4_3_4_no_finals,C0249253,בגפו יבא בגפו,Exod.21.3,91,77,195,143,yes,no,no
exact_4_3_4_no_finals,C0250289,במשא יסר במשא,1Chr.15.22,343,247,956,678,no,no,no
exact_4_3_4_no_finals,C0250791,בערי ההר בערי,Jer.33.13,282,1B6,774,546,no,no,no
exact_4_3_4_no_finals,C0250959,בקשו צדק בקשו,Zeph.2.3,408,2A0,1010,702,no,no,no
exact_4_3_4_no_finals,C0251990,דמשק הנה דמשק,Isa.17.1,444,310,948,670,no,no,no
exact_4_3_4_no_finals,C0252314,האפד ואת האפד,Exod.29.5,90,76,587,40B,no,no,no
exact_4_3_4_no_finals,C0254930,העלה הוא העלה,Lev.6.2,110,92,232,174,no,no,no
exact_4_3_4_no_finals,C0255584,השמש ובא השמש,Eccl.1.5,645,459,1299,903,no,no,no
exact_4_3_4_no_finals,C0256077,ואמר אפס ואמר,Amos.6.10,247,187,635,44B,no,no,no
exact_4_3_4_no_finals,C0256130,ואני אשא ואני,Isa.46.4,67,57,436,304,no,no,no
exact_4_3_4_no_finals,C0256676,ואתה תשא ואתה,1Kgs.5.23,412,2A4,1525,A71,no,no,no
exact_4_3_4_no_finals,C0256808,ובית ענת ובית,Josh.19.38,418,2AA,1356,950,no,no,no
exact_4_3_4_no_finals,C0257203,והוא לוי והוא,Judg.17.7,18,16,82,6A,no,no,no
exact_4_3_4_no_finals,C0258281,ויהי ערב ויהי,Gen.1.5,31,27,334,23A,no,no,no
exact_4_3_4_no_finals,C0259526,וכלי זהב וכלי,2Sam.8.10,66,56,146,102,no,no,no
exact_4_3_4_no_finals,C0260594,ועלי הדס ועלי,Neh.8.15,116,98,301,211,no,no,no
exact_4_3_4_no_finals,C0261945,חכמה קנה חכמה,Prov.4.7,73,61,301,211,no,no,no
