expression_key,name,hebrew,layers,object_classes,attestation_statuses,representative_sources,source_records,basis,value,base12,center_digit,center_value,outer_frame,outer_frame_value,base10_digital_root,base12_digit_sum,self_center_match,named_frame_match,framed_expressions
melekh haolam|מלך העולם,Melekh HaOlam,מלך העולם,later-traditional-expansion,liturgical-divine-title,later-exact,Siddur blessing formula,expansion:74,standard,241,181,8,8,11,13,7,10,no,no,
haroeh hatov defective|הרעה הטוב,HaRoeh HaTov defective,הרעה הטוב,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,John 10 Delitzsch Hebrew,expansion:70,standard,302,212,1,1,22,26,5,5,no,yes,YHWH
haroeh hatov defective|הרעה הטוב,HaRoeh HaTov defective,הרעה הטוב,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,John 10 Delitzsch Hebrew,expansion:70,mispar-gadol,302,212,1,1,22,26,5,5,no,yes,YHWH
shaddai|שדי,Shaddai,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,manuscript:6,standard,314,222,2,2,22,26,8,6,no,yes,YHWH
shaddai|שדי,Shaddai,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,manuscript:6,mispar-gadol,314,222,2,2,22,26,8,6,no,yes,YHWH
yeshua|ישוע,Yeshua,ישוע,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,manuscript:18,standard,386,282,8,8,22,26,8,12,yes,yes,YHWH
yeshua|ישוע,Yeshua,ישוע,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,manuscript:18,mispar-gadol,386,282,8,8,22,26,8,12,yes,yes,YHWH
qadosh|קדוש,Qadosh,קדוש,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 40:25,expansion:16,standard,410,2A2,A,10,22,26,5,14,no,yes,YHWH
qadosh|קדוש,Qadosh,קדוש,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 40:25,expansion:16,mispar-gadol,410,2A2,A,10,22,26,5,14,no,yes,YHWH
ehyeh asher ehyeh|אהיה אשר אהיה,Ehyeh Asher Ehyeh,אהיה אשר אהיה,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,manuscript:7,standard,543,393,9,9,33,39,3,15,no,yes,YHWH Echad
