index,name,hebrew,scope,hebrew_letters,computed_standard,claimed_standard,standard_match,computed_mispar_gadol,claimed_mispar_gadol,mispar_gadol_match,base12_standard,base12_mispar_gadol,base12_claim_basis,claimed_base12,base12_match,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base10_palindrome,mispar_base10_palindrome,standard_base12_palindrome,mispar_base12_palindrome,claimed_cluster,computed_domains,review_flags
1,El,אל,literal-heading,אל,31,31,yes,31,31,yes,27,27,mispar-gadol,27,yes,4,4,9,9,no,no,no,no,Neutral.,,
2,Eloah,אלוה,literal-heading,אלוה,42,42,yes,42,42,yes,36,36,mispar-gadol,36,yes,6,6,9,9,no,no,no,no,Constantresonance cluster.,standard-constant-42; mispar-constant-42,
3,Elohim,אלהים,literal-heading,אלהים,86,86,yes,646,646,yes,72,45A,mispar-gadol,45A,yes,5,7,9,10,no,yes,no,no,Base10 palindrome cluster.,mispar-base10-palindrome,
4,YHWH,יהוה,literal-heading,יהוה,26,26,yes,26,26,yes,22,22,mispar-gadol,22,yes,8,8,4,4,no,no,yes,yes,8-collapse; Base12 palindrome; Constantresonance,standard-collapse-8; mispar-collapse-8; standard-base12-palindrome; mispar-base12-palindrome,
5,Adonai,אדני,literal-heading,אדני,65,65,yes,65,715,no,55,55,mispar-gadol,4B7,no,11,11,10,10,no,no,yes,yes,Base12 palindrome cluster.,standard-base12-palindrome; mispar-base12-palindrome,mispar-gadol-claim-mismatch; base12-claim-mismatch
6,Shaddai,שדי,literal-heading,שדי,314,314,yes,314,314,yes,222,222,mispar-gadol,222,yes,8,8,6,6,no,no,yes,yes,8-collapse; Base12 palindrome; Constantresonance,standard-collapse-8; standard-constant-314; mispar-collapse-8; mispar-constant-314; standard-base12-palindrome; mispar-base12-palindrome,
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,literal-heading,אהיהאשראהיה,543,543,yes,543,543,yes,393,393,mispar-gadol,393,yes,12,12,6,6,no,no,yes,yes,Base12 palindrome cluster.,standard-collapse-12; mispar-collapse-12; standard-base12-palindrome; mispar-base12-palindrome,
8,El Elyon,אל עליון,literal-heading,אלעליון,197,228,no,847,847,yes,145,5A7,mispar-gadol,5A7,yes,8,10,10,4,no,no,no,no,8-collapse (from standard 197 → 1+9+7=17→8),standard-collapse-8,standard-claim-mismatch
9,El Olam,אל עולם,literal-heading,אלעולם,177,177,yes,737,737,yes,129,515,mispar-gadol,515,yes,6,8,12,11,no,yes,no,yes,8-collapse; Base12 palindrome,mispar-collapse-8; mispar-base10-palindrome; standard-base12-collapse-12; mispar-base12-palindrome,
10,El Roi,אל ראי,literal-heading,אלראי,242,242,yes,242,242,yes,182,182,mispar-gadol,182,yes,8,8,11,11,yes,yes,no,no,8-collapse; Base10 palindrome,standard-collapse-8; standard-base10-palindrome; mispar-collapse-8; mispar-base10-palindrome,
11,El Gibbor,אל גבור,literal-heading,אלגבור,242,242,yes,242,242,yes,182,182,mispar-gadol,182,yes,8,8,11,11,yes,yes,no,no,8-collapse; Base10 palindrome,standard-collapse-8; standard-base10-palindrome; mispar-collapse-8; mispar-base10-palindrome,
12,El Yeshuati,אל ישועתי,literal-heading,אלישועתי,827,827,yes,827,827,yes,58B,58B,mispar-gadol,58B,yes,8,8,6,6,no,no,no,no,8-collapse.,standard-collapse-8; mispar-collapse-8,
13,Shekhinah,שכינה,literal-heading,שכינה,385,385,yes,385,385,yes,281,281,mispar-gadol,281,yes,7,7,11,11,no,no,no,no,12-collapse (from 385 → 3+8+5=16 → 7? No. But from 281_12 → 2+8+1=11? Also no.; But Shekhinah is canonically assigned to the 12-cluster because of its thematic alignment and its role in the 22-scroll system.),,claimed-12-collapse-without-computed-12
14,HaMakom,המקום,literal-heading,המקום,191,191,yes,751,751,yes,13B,527,mispar-gadol,527,yes,11,4,6,5,yes,no,no,no,Base10 palindrome cluster.,standard-base10-palindrome,
15,HaRachaman,הרחמן,literal-heading,הרחמן,303,303,yes,953,953,yes,213,675,mispar-gadol,675,yes,6,8,6,9,yes,no,no,no,8-collapse; Base10 palindrome,standard-base10-palindrome; mispar-collapse-8,
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,literal-heading,הקדושברוךהוא,655,650,no,1135,1135,yes,467,7A7,mispar-gadol,7A7,yes,7,10,8,6,no,no,no,yes,Base12 palindrome cluster.,standard-base12-collapse-8; mispar-base12-palindrome,standard-claim-mismatch
17,Ribbono Shel Olam,ריבונו של עולם,literal-heading,ריבונושלעולם,750,744,no,1310,1960,no,526,912,mispar-gadol,1174,no,12,5,4,12,no,no,no,no,12-collapse (thematically),standard-collapse-12; mispar-base12-collapse-12,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
18,Yeshua,ישוע,literal-heading,ישוע,386,386,yes,386,386,yes,282,282,mispar-gadol,282,yes,8,8,12,12,no,no,yes,yes,12-collapse,standard-collapse-8; mispar-collapse-8; standard-base12-collapse-12; standard-base12-palindrome; mispar-base12-collapse-12; mispar-base12-palindrome,
19,Immanuel,עמנואל,literal-heading,עמנואל,197,197,yes,197,197,yes,145,145,mispar-gadol,145,yes,8,8,10,10,no,no,no,no,8-collapse.,standard-collapse-8; mispar-collapse-8,
20,Mashiach,משיח,literal-heading,משיח,358,358,yes,358,358,yes,25A,25A,mispar-gadol,25A,yes,7,7,8,8,no,no,no,no,8-collapse.,standard-base12-collapse-8; mispar-base12-collapse-8,
21,Sar Shalom,שר שלום,literal-heading,שרשלום,876,876,yes,1436,1446,no,610,9B8,mispar-gadol,A06,no,3,5,7,10,no,no,no,no,Neutral.,,mispar-gadol-claim-mismatch; base12-claim-mismatch
22,Adon,אדון,literal-heading,אדון,61,61,yes,711,711,yes,51,4B3,mispar-gadol,4B3,yes,7,9,6,9,no,no,no,no,Neutral.,,
23,Elohei HaShamayim,אלוהי השמים,literal-heading,אלוהיהשמים,447,447,yes,1007,1007,yes,313,6BB,mispar-gadol,6BB,yes,6,8,7,10,no,no,yes,no,8-collapse.,mispar-collapse-8; standard-base12-palindrome,
24,Elohei HaAretz,אלוהי הארץ,literal-heading,אלוהיהארץ,348,348,yes,1158,1048,no,250,806,mispar-gadol,734,no,6,6,7,5,no,no,no,no,Neutral.,,mispar-gadol-claim-mismatch; base12-claim-mismatch
25,El Shaddai,אל שדי,literal-heading,אלשדי,345,345,yes,345,345,yes,249,249,mispar-gadol,249,yes,12,12,6,6,no,no,no,no,12-collapse,standard-collapse-12; standard-constant-345; mispar-collapse-12; mispar-constant-345,
26,El Kana,אל קנא,literal-heading,אלקנא,182,182,yes,182,182,yes,132,132,mispar-gadol,132,yes,11,11,6,6,no,no,no,no,Neutral.,,
27,El De’ot,אל דעות,literal-heading,אלדעות,511,511,yes,511,1411,no,367,367,mispar-gadol,997,no,7,7,7,7,no,no,no,no,Neutral.,,mispar-gadol-claim-mismatch; base12-claim-mismatch
28,El Berit,אל ברית,literal-heading,אלברית,643,643,yes,643,643,yes,457,457,mispar-gadol,457,yes,4,4,7,7,no,no,no,no,Neutral.,,
29,El HaNe’eman,אל הנאמן,literal-heading,אלהנאמן,177,179,no,827,879,no,129,58B,mispar-gadol,613,no,6,8,12,6,no,no,no,no,8-collapse (from standard 179 → 17 → 8),mispar-collapse-8; standard-base12-collapse-12,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
30,El HaGadol,אל הגדול,literal-heading,אלהגדול,79,74,no,79,74,no,67,67,mispar-gadol,62,no,7,7,4,4,no,no,no,no,8-collapse.,,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8
31,El HaNorah,אל הנורא,literal-heading,אלהנורא,293,293,yes,293,293,yes,205,205,mispar-gadol,205,yes,5,5,7,7,no,no,no,no,Neutral.,,
32,El HaKavod,אל הכבוד,literal-heading,אלהכבוד,68,69,no,68,69,no,58,58,mispar-gadol,59,no,5,5,4,4,no,no,no,no,Neutral.,,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
33,El HaShamayim,אל השמים,literal-heading,אלהשמים,426,426,yes,986,1026,no,2B6,6A2,mispar-gadol,716,no,12,5,10,9,no,no,no,no,12-collapse (from standard 426 → 12),standard-collapse-12,mispar-gadol-claim-mismatch; base12-claim-mismatch
34,El HaAretz,אל הארץ,literal-heading,אלהארץ,327,327,yes,1137,1027,no,233,7A9,mispar-gadol,717,no,12,12,8,8,no,no,no,no,12-collapse (from standard 327 → 12),standard-collapse-12; mispar-collapse-12; standard-base12-collapse-8; mispar-base12-collapse-8,mispar-gadol-claim-mismatch; base12-claim-mismatch
35,Elohei Avraham,אלוהי אברהם,literal-heading,אלוהיאברהם,300,300,yes,860,900,no,210,5B8,mispar-gadol,630,no,3,5,3,6,no,no,no,no,Neutral.,,mispar-gadol-claim-mismatch; base12-claim-mismatch
36,Elohei Yitzchak,אלוהי יצחק,literal-heading,אלוהייצחק,260,260,yes,260,1152,no,198,198,mispar-gadol,800,no,8,8,9,9,no,no,no,no,8-collapse.,standard-collapse-8; mispar-collapse-8,mispar-gadol-claim-mismatch; base12-claim-mismatch
37,Elohei Yaakov,אלוהי יעקב,literal-heading,אלוהייעקב,234,234,yes,234,234,yes,176,176,mispar-gadol,176,yes,9,9,5,5,no,no,no,no,Neutral.,,
38,The 42-Letter Name,שם בן מ״ב,formula-not-in-heading,שםבןמב,434,3701,not compared,1644,5161,not compared,302,B50,mispar-gadol,2BA1,not compared,11,6,5,7,yes,no,no,no,Bridge/neutral.,standard-base10-palindrome,formula-not-in-heading
39,The 72Letter Name,"שם ע""ב",canonical-constant-not-heading,שםעב,412,72,not compared,972,,,2A4,690,standard,60,not compared,7,9,7,6,no,no,no,no,Basemultiple cluster.,,canonical-constant-not-heading
40,AB,אב,literal-heading,אב,3,3,yes,3,3,yes,3,3,mispar-gadol,3,yes,3,3,3,3,no,no,no,no,Basemultiple cluster.,,
41,SAG,ס״ג,literal-heading,סג,63,63,yes,63,,,53,53,standard,53,yes,9,9,8,8,no,no,no,no,8-collapse,standard-base12-collapse-8; mispar-base12-collapse-8,
42,MAH,מ״ה,literal-heading,מה,45,45,yes,45,,,39,39,standard,39,yes,9,9,12,12,no,no,no,no,12-collapse,standard-base12-collapse-12; mispar-base12-collapse-12,
43,BEN,ב״ן,literal-heading,בן,52,52,yes,702,,,44,4A6,standard,44,yes,7,9,8,2,no,no,yes,no,8-collapse; Base12 palindrome,standard-base12-collapse-8; standard-base12-palindrome,
