control_id,hebrew,first_reference,frequency,standard_value,base12,same_letter_multiset_as_yeshua
C0003157,אשפה,Isa.22.6,2,386,282,no
C0005610,ויעש,1Chr.14.16,239,386,282,yes
C0005661,וישע,1Sam.23.5,6,386,282,yes
C0005954,ונשל,Deut.7.1,3,386,282,no
C0006018,ועיש,Job.38.32,1,386,282,yes
C0006060,ועשי,2Sam.13.7,4,386,282,yes
C0006104,ופרק,Isa.65.4,1,386,282,no
C0007124,יועש,1Chr.27.28,1,386,282,yes
C0007136,יושע,Jer.30.7,4,386,282,yes
C0007444,יעוש,1Chr.8.39,3,386,282,yes
C0007487,יעשו,1Sam.2.14,21,386,282,yes
C0007739,ישעו,2Sam.22.42,4,386,282,yes
C0008877,לשנו,Deut.28.49,6,386,282,no
C0009714,משמו,Num.24.23,1,386,282,no
C0010446,עושי,2Chr.26.13,3,386,282,yes
C0010661,עשוי,Ezek.40.17,3,386,282,yes
C0010831,פרקו,Exod.32.2,1,386,282,no
C0011379,שאפה,Jer.2.24,1,386,282,no
C0011474,שועי,Ps.5.3,1,386,282,yes
C0011637,שממו,Ezek.27.35,3,386,282,no
