index,name,hebrew,inherited_hebrew,corpus_layer,object_class,attestation_status,representative_source,source_url,source_form,recommended_action,scope,hebrew_letters,computed_standard,claimed_standard,standard_match,computed_mispar_gadol,claimed_mispar_gadol,mispar_gadol_match,base12_standard,base12_mispar_gadol,base12_claim_basis,claimed_base12,base12_match,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base10_palindrome,mispar_base10_palindrome,standard_base12_palindrome,mispar_base12_palindrome,claimed_cluster,computed_domains,review_flags
1,El,אל,אל,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 34:6,https://www.sefaria.org/Exodus.34.6?lang=bi,אל,retain,literal-heading,אל,31,31,yes,31,31,yes,27,27,mispar-gadol,27,yes,4,4,9,9,no,no,no,no,Neutral.,,
2,Eloah,אלוה,אלוה,primary-biblical,biblical-divine-name,exact-divine-use,Deuteronomy 32:15,https://www.sefaria.org/Deuteronomy.32.15?lang=bi,אלוה,retain,literal-heading,אלוה,42,42,yes,42,42,yes,36,36,mispar-gadol,36,yes,6,6,9,9,no,no,no,no,Constantresonance cluster.,standard-constant-42; mispar-constant-42,
3,Elohim,אלהים,אלהים,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 1:1,https://www.sefaria.org/Genesis.1.1?lang=bi,אלהים,retain,literal-heading,אלהים,86,86,yes,646,646,yes,72,45A,mispar-gadol,45A,yes,5,7,9,10,no,yes,no,no,Base10 palindrome cluster.,mispar-base10-palindrome,
4,YHWH,יהוה,יהוה,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 3:15,https://www.sefaria.org/Exodus.3.15?lang=bi,יהוה,retain,literal-heading,יהוה,26,26,yes,26,26,yes,22,22,mispar-gadol,22,yes,8,8,4,4,no,no,yes,yes,8-collapse; Base12 palindrome; Constantresonance,standard-collapse-8; mispar-collapse-8; standard-base12-palindrome; mispar-base12-palindrome,
5,Adonai,אדני,אדני,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 15:2,https://www.sefaria.org/Genesis.15.2?lang=bi,אדני,retain,literal-heading,אדני,65,65,yes,65,715,no,55,55,mispar-gadol,4B7,no,11,11,10,10,no,no,yes,yes,Base12 palindrome cluster.,standard-base12-palindrome; mispar-base12-palindrome,mispar-gadol-claim-mismatch; base12-claim-mismatch
6,Shaddai,שדי,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,https://www.sefaria.org/Genesis.17.1?lang=bi,שדי,retain,literal-heading,שדי,314,314,yes,314,314,yes,222,222,mispar-gadol,222,yes,8,8,6,6,no,no,yes,yes,8-collapse; Base12 palindrome; Constantresonance,standard-collapse-8; standard-constant-314; mispar-collapse-8; mispar-constant-314; standard-base12-palindrome; mispar-base12-palindrome,
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,אהיה אשר אהיה,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,https://www.sefaria.org/Exodus.3.14?lang=bi,אהיה אשר אהיה,retain,literal-heading,אהיהאשראהיה,543,543,yes,543,543,yes,393,393,mispar-gadol,393,yes,12,12,6,6,no,no,yes,yes,Base12 palindrome cluster.,standard-collapse-12; mispar-collapse-12; standard-base12-palindrome; mispar-base12-palindrome,
8,El Elyon,אל עליון,אל עליון,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 14:22,https://www.sefaria.org/Genesis.14.22?lang=bi,אל עליון,retain,literal-heading,אלעליון,197,228,no,847,847,yes,145,5A7,mispar-gadol,5A7,yes,8,10,10,4,no,no,no,no,8-collapse (from standard 197 → 1+9+7=17→8),standard-collapse-8,standard-claim-mismatch
9,El Olam,אל עולם,אל עולם,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 21:33,https://www.sefaria.org/Genesis.21.33?lang=bi,אל עולם,retain,literal-heading,אלעולם,177,177,yes,737,737,yes,129,515,mispar-gadol,515,yes,6,8,12,11,no,yes,no,yes,8-collapse; Base12 palindrome,mispar-collapse-8; mispar-base10-palindrome; standard-base12-collapse-12; mispar-base12-palindrome,
10,El Roi,אל ראי,אל ראי,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 16:13,https://www.sefaria.org/Genesis.16.13?lang=bi,אל ראי,retain,literal-heading,אלראי,242,242,yes,242,242,yes,182,182,mispar-gadol,182,yes,8,8,11,11,yes,yes,no,no,8-collapse; Base10 palindrome,standard-collapse-8; standard-base10-palindrome; mispar-collapse-8; mispar-base10-palindrome,
11,El Gibbor,אל גבור,אל גבור,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 10:21,https://www.sefaria.org/Isaiah.10.21?lang=bi,אל גבור,retain,literal-heading,אלגבור,242,242,yes,242,242,yes,182,182,mispar-gadol,182,yes,8,8,11,11,yes,yes,no,no,8-collapse; Base10 palindrome,standard-collapse-8; standard-base10-palindrome; mispar-collapse-8; mispar-base10-palindrome,
12,El Yeshuati,אל ישועתי,אל ישועתי,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 12:2,https://www.sefaria.org/Isaiah.12.2?lang=bi,אל ישועתי,retain,literal-heading,אלישועתי,827,827,yes,827,827,yes,58B,58B,mispar-gadol,58B,yes,8,8,6,6,no,no,no,no,8-collapse.,standard-collapse-8; mispar-collapse-8,
13,Shekhinah,שכינה,שכינה,later-traditional,rabbinic-theological-term,later-exact-use,Pirkei Avot 3:6,https://www.sefaria.org/Pirkei_Avot.3.6?lang=bi,שכינה,separate-layer,literal-heading,שכינה,385,385,yes,385,385,yes,281,281,mispar-gadol,281,yes,7,7,11,11,no,no,no,no,12-collapse (from 385 → 3+8+5=16 → 7? No. But from 281_12 → 2+8+1=11? Also no.; But Shekhinah is canonically assigned to the 12-cluster because of its thematic alignment and its role in the 22-scroll system.),,claimed-12-collapse-without-computed-12
14,HaMakom,המקום,המקום,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Mishnah Sanhedrin 6:5,https://www.sefaria.org/Mishnah_Sanhedrin.6.5?lang=bi,המקום,separate-layer,literal-heading,המקום,191,191,yes,751,751,yes,13B,527,mispar-gadol,527,yes,11,4,6,5,yes,no,no,no,Base10 palindrome cluster.,standard-base10-palindrome,
15,HaRachaman,הרחמן,הרחמן,later-traditional,liturgical-divine-epithet,later-exact-divine-use,"Birkat Hamazon, Hatov Vehametiv 2",https://www.sefaria.org/Birkat_Hamazon%2C_Hatov_Vehametiv.2?lang=bi,הרחמן,separate-layer,literal-heading,הרחמן,303,303,yes,953,953,yes,213,675,mispar-gadol,675,yes,6,8,6,9,yes,no,no,no,8-collapse; Base10 palindrome,standard-base10-palindrome; mispar-collapse-8,
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,הקדוש ברוך הוא,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Pirkei Avot 3:2,https://www.sefaria.org/Pirkei_Avot.3.2?lang=bi,הקדוש ברוך הוא,separate-layer,literal-heading,הקדושברוךהוא,655,650,no,1135,1135,yes,467,7A7,mispar-gadol,7A7,yes,7,10,8,6,no,no,no,yes,Base12 palindrome cluster.,standard-base12-collapse-8; mispar-base12-palindrome,standard-claim-mismatch
17,Ribbono Shel Olam,רבונו של עולם,ריבונו של עולם,later-traditional,rabbinic-address-formula,normalized-later-form,Menachot 29b:5,https://www.sefaria.org/Menachot.29b.5?lang=bi,רבונו של עולם,correct-and-separate,literal-heading,רבונושלעולם,740,744,no,1300,1960,no,518,904,mispar-gadol,1174,no,11,4,5,4,no,no,no,no,12-collapse (thematically),,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-12-collapse-without-computed-12
18,Yeshua,ישוע,ישוע,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,https://www.sefaria.org/Ezra.2.2?lang=bi,ישוע,separate-layer,literal-heading,ישוע,386,386,yes,386,386,yes,282,282,mispar-gadol,282,yes,8,8,12,12,no,no,yes,yes,12-collapse,standard-collapse-8; mispar-collapse-8; standard-base12-collapse-12; standard-base12-palindrome; mispar-base12-collapse-12; mispar-base12-palindrome,
19,Immanuel,עמנו אל,עמנואל,messianic-comparative,biblical-sign-name,normalized-biblical-form,Isaiah 7:14,https://www.sefaria.org/Isaiah.7.14?lang=bi,עמנו אל,correct-segmentation,literal-heading,עמנואל,197,197,yes,197,197,yes,145,145,mispar-gadol,145,yes,8,8,10,10,no,no,no,no,8-collapse.,standard-collapse-8; mispar-collapse-8,
20,Mashiach,משיח,משיח,messianic-comparative,biblical-royal-title,exact-nonexclusive-title,I Samuel 24:7,https://www.sefaria.org/I_Samuel.24.7?lang=bi,משיח,separate-layer,literal-heading,משיח,358,358,yes,358,358,yes,25A,25A,mispar-gadol,25A,yes,7,7,8,8,no,no,no,no,8-collapse.,standard-base12-collapse-8; mispar-base12-collapse-8,
