index,name,hebrew,inherited_hebrew,form_status,corpus_layer,object_class,attestation_status,representative_source,source_url,source_form,recommended_action,scope,thematic_or_structural_domain,standard_gematria,claimed_standard,standard_match,mispar_gadol,claimed_mispar_gadol,mispar_gadol_match,base12_standard,base12_mispar_gadol,claimed_base12,base12_claim_basis,base12_match,decimal_collapse_standard,decimal_collapse_mispar_gadol,base12_collapse_standard,base12_collapse_mispar_gadol,base10_palindrome_layers,base12_palindrome_layers,strict_8_layers,strict_12_layers,strict_layers,canonical_or_structural_signatures,notable_constant_hits,ordinary_math_hits,shared_value_links,current_paper_cluster,audit_flags,taxonomy_flags,review_status,revision_note
1,El,אל,אל,primary-biblical,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 34:6,https://www.sefaria.org/Exodus.34.6?lang=bi,אל,retain,literal-heading,identity/root name,31,31,yes,31,31,yes,27_12,27_12,27_12,mispar-gadol,yes,4,4,9,9,,,,,,,standard=31 (exact: El standard); mispar-gadol=31 (exact: El standard),standard=31 (mersenne: 2^5 - 1); mispar-gadol=31 (mersenne: 2^5 - 1),,Neutral.,,,neutral-or-thematic,Leave neutral unless thematic grounds are explicitly argued.
2,Eloah,אלוה,אלוה,primary-biblical,primary-biblical,biblical-divine-name,exact-divine-use,Deuteronomy 32:15,https://www.sefaria.org/Deuteronomy.32.15?lang=bi,אלוה,retain,literal-heading,identity/root name,42,42,yes,42,42,yes,36_12,36_12,36_12,mispar-gadol,yes,6,6,9,9,,,,,standard-constant-42:42; mispar-gadol-constant-42:42,standard-constant-42:42; mispar-gadol-constant-42:42,standard=42 (exact: forty-two); mispar-gadol=42 (exact: forty-two),,,Constantresonance cluster.,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
3,Elohim,אלהים,אלהים,primary-biblical,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 1:1,https://www.sefaria.org/Genesis.1.1?lang=bi,אלהים,retain,literal-heading,identity/creation,86,86,yes,646,646,yes,72_12,45A_12,45A_12,mispar-gadol,yes,5,7,9,10,mispar-gadol=646,,,,mispar-gadol-base10-palindrome; standard-base12=72_12 (canonical seventy-two signature),standard-base12=72_12 (canonical seventy-two signature),standard-base12=72 (base12-string: seventy-two string),,,Base10 palindrome cluster.,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.; Add hidden standard/base-12 result: 86_10 = 72_12.
4,YHWH,יהוה,יהוה,primary-biblical,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 3:15,https://www.sefaria.org/Exodus.3.15?lang=bi,יהוה,retain,literal-heading,identity/covenant,26,26,yes,26,26,yes,22_12,22_12,22_12,mispar-gadol,yes,8,8,4,4,,standard=22_12; mispar-gadol=22_12,standard-collapse-8; mispar-gadol-collapse-8,,standard-collapse-8; mispar-gadol-collapse-8; standard-base12-palindrome:22; mispar-gadol-base12-palindrome:22; standard-base12-signature-22:YHWH/base-12 alphabet signature; mispar-gadol-base12-signature-22:YHWH/base-12 alphabet signature,standard-base12-signature-22:YHWH/base-12 alphabet signature; mispar-gadol-base12-signature-22:YHWH/base-12 alphabet signature,standard=26 (exact: YHWH standard); mispar-gadol=26 (exact: YHWH standard); standard-base12=22 (base12-string: YHWH base-12 signature); mispar-gadol-base12=22 (base12-string: YHWH base-12 signature),standard=26 (star-number-multiple: 2 * 13 (S2)); mispar-gadol=26 (star-number-multiple: 2 * 13 (S2)),,8-collapse; Base12 palindrome; Constantresonance,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
5,Adonai,אדני,אדני,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 15:2,https://www.sefaria.org/Genesis.15.2?lang=bi,אדני,retain,literal-heading,lordship/kingship,65,65,yes,65,715,no,55_12,55_12,4B7_12,mispar-gadol,no,11,11,10,10,,standard=55_12; mispar-gadol=55_12,,,standard-base12-palindrome:55; mispar-gadol-base12-palindrome:55,,,standard=65 (star-number-multiple: 5 * 13 (S2)); mispar-gadol=65 (star-number-multiple: 5 * 13 (S2)); standard-base12=55_12 (base12-notation-fibonacci-string: digits form Fibonacci number 55); mispar-gadol-base12=55_12 (base12-notation-fibonacci-string: digits form Fibonacci number 55),,Base12 palindrome cluster.,mispar-gadol-claim-mismatch; base12-claim-mismatch,calculation-review,calculation-review,Correct Mispar Gadol handling; base-12 palindrome survives as 55_12.
6,Shaddai,שדי,שדי,primary-biblical,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,https://www.sefaria.org/Genesis.17.1?lang=bi,שדי,retain,literal-heading,power/provision,314,314,yes,314,314,yes,222_12,222_12,222_12,mispar-gadol,yes,8,8,6,6,,standard=222_12; mispar-gadol=222_12,standard-collapse-8; mispar-gadol-collapse-8,,standard-collapse-8; mispar-gadol-collapse-8; standard-base12-palindrome:222; mispar-gadol-base12-palindrome:222; standard-constant-314:pi/Shaddai; mispar-gadol-constant-314:pi/Shaddai,standard-constant-314:pi/Shaddai; mispar-gadol-constant-314:pi/Shaddai,standard=314 (exact: pi/Shaddai); mispar-gadol=314 (exact: pi/Shaddai); standard-base12=222 (base12-string: triple-2 identity string); mispar-gadol-base12=222 (base12-string: triple-2 identity string),standard=314 (decimal-constant-encoding: pi to two decimal places: 3.14); mispar-gadol=314 (decimal-constant-encoding: pi to two decimal places: 3.14),,8-collapse; Base12 palindrome; Constantresonance,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,אהיה אשר אהיה,primary-biblical,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,https://www.sefaria.org/Exodus.3.14?lang=bi,אהיה אשר אהיה,retain,literal-heading,self-existence/formula,543,543,yes,543,543,yes,393_12,393_12,393_12,mispar-gadol,yes,12,12,6,6,,standard=393_12; mispar-gadol=393_12,,standard-collapse-12; mispar-gadol-collapse-12,standard-collapse-12; mispar-gadol-collapse-12; standard-base12-palindrome:393; mispar-gadol-base12-palindrome:393; standard-base12=393_12 (Ehyeh Asher Ehyeh formula palindrome); mispar-gadol-base12=393_12 (Ehyeh Asher Ehyeh formula palindrome),standard-base12=393_12 (Ehyeh Asher Ehyeh formula palindrome); mispar-gadol-base12=393_12 (Ehyeh Asher Ehyeh formula palindrome),standard-base12=393 (base12-string: Ehyeh Asher Ehyeh palindrome); mispar-gadol-base12=393 (base12-string: Ehyeh Asher Ehyeh palindrome),standard=543 (star-number-multiple: 3 * 181 (S6)); mispar-gadol=543 (star-number-multiple: 3 * 181 (S6)),,Base12 palindrome cluster.,,strict-12-not-claimed,classification-review,Add the exact decimal first-step sum 5 + 4 + 3 = 12.
8,El Elyon,אל עליון,אל עליון,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 14:22,https://www.sefaria.org/Genesis.14.22?lang=bi,אל עליון,retain,literal-heading,transcendence/kingship,197,228,no,847,847,yes,145_12,5A7_12,5A7_12,mispar-gadol,yes,8,10,10,4,,,standard-collapse-8,,standard-collapse-8,,,mispar-gadol=847 (star-number-multiple: 7 * 121 (S5)),standard=197 with Immanuel (Transcendence/immanence pair.); base12-standard=145_12 (197_10) with Immanuel (Transcendence/immanence pair.),8-collapse (from standard 197 → 1+9+7=17→8),standard-claim-mismatch,calculation-review,calculation-review,Correct standard total/double-count issue; strict standard 8-collapse survives.; Shared link: standard=197 with Immanuel (Transcendence/immanence pair.); base12-standard=145_12 (197_10) with Immanuel (Transcendence/immanence pair.)
9,El Olam,אל עולם,אל עולם,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 21:33,https://www.sefaria.org/Genesis.21.33?lang=bi,אל עולם,retain,literal-heading,eternity/stability,177,177,yes,737,737,yes,129_12,515_12,515_12,mispar-gadol,yes,6,8,12,11,mispar-gadol=737,mispar-gadol=515_12,mispar-gadol-collapse-8,base12-standard-collapse-12,mispar-gadol-collapse-8; base12-standard-collapse-12; mispar-gadol-base10-palindrome; mispar-gadol-base12-palindrome:515; mispar-gadol-base12=515_12 (El Olam Mispar Gadol palindrome),mispar-gadol-base12=515_12 (El Olam Mispar Gadol palindrome),mispar-gadol-base12=515 (base12-string: El Olam Mispar Gadol palindrome),,,8-collapse; Base12 palindrome,,strict-12-not-claimed; strict-base10-not-claimed,classification-review,"Treat as cross-layer: Mispar Gadol terminal 8, exact base-12 digit sum 12, and base-10 and base-12 palindrome layers."
10,El Roi,אל ראי,אל ראי,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 16:13,https://www.sefaria.org/Genesis.16.13?lang=bi,אל ראי,retain,literal-heading,seeing/providence,242,242,yes,242,242,yes,182_12,182_12,182_12,mispar-gadol,yes,8,8,11,11,standard=242; mispar-gadol=242,,standard-collapse-8; mispar-gadol-collapse-8,,standard-collapse-8; mispar-gadol-collapse-8; standard-base10-palindrome; mispar-gadol-base10-palindrome,,,standard=242 (star-number-multiple: 2 * 121 (S5)); mispar-gadol=242 (star-number-multiple: 2 * 121 (S5)),standard=242 with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.); mispar-gadol=242 with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-standard=182_12 (242_10) with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-mispar-gadol=182_12 (242_10) with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.),8-collapse; Base10 palindrome,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.; Shared link: standard=242 with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.); mispar-gadol=242 with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-standard=182_12 (242_10) with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-mispar-gadol=182_12 (242_10) with El Gibbor (Exact seeing/might pair; also matched by candidate YHWH Yireh.)
