anchors,one_digit_anchor,two_digit_anchors,anchor_incidences,pairwise_shared_anchor_links,occupied_anchors,nodes_with_anchor,theological_anchor_set
2;12;15;22;26,2,12;15;22;26,7,2,5,4,no
2;12;15;22;33,2,12;15;22;33,7,2,5,4,no
2;12;15;22;36,2,12;15;22;36,7,2,5,5,no
2;12;15;22;42,2,12;15;22;42,8,3,5,5,no
2;12;15;22;55,2,12;15;22;55,7,2,5,4,no
2;12;15;22;72,2,12;15;22;72,7,2,5,5,no
2;12;15;22;86,2,12;15;22;86,7,2,5,5,no
2;12;15;26;33,2,12;15;26;33,6,1,5,4,no
2;12;15;26;36,2,12;15;26;36,6,1,5,5,no
2;12;15;26;42,2,12;15;26;42,7,2,5,5,no
2;12;15;26;55,2,12;15;26;55,6,1,5,4,no
2;12;15;26;72,2,12;15;26;72,6,1,5,5,no
2;12;15;26;86,2,12;15;26;86,6,1,5,5,no
2;12;15;33;36,2,12;15;33;36,6,1,5,4,no
2;12;15;33;42,2,12;15;33;42,7,2,5,4,no
2;12;15;33;55,2,12;15;33;55,6,1,5,3,no
2;12;15;33;72,2,12;15;33;72,6,1,5,4,no
2;12;15;33;86,2,12;15;33;86,6,1,5,4,no
2;12;15;36;42,2,12;15;36;42,7,2,5,4,no
2;12;15;36;55,2,12;15;36;55,6,1,5,4,no
2;12;15;36;72,2,12;15;36;72,6,1,5,5,no
2;12;15;36;86,2,12;15;36;86,6,1,5,5,no
2;12;15;42;55,2,12;15;42;55,7,2,5,4,no
2;12;15;42;72,2,12;15;42;72,7,2,5,5,no
2;12;15;42;86,2,12;15;42;86,7,2,5,5,no
2;12;15;55;72,2,12;15;55;72,6,1,5,4,no
2;12;15;55;86,2,12;15;55;86,6,1,5,4,no
2;12;15;72;86,2,12;15;72;86,6,1,5,4,no
2;12;22;26;33,2,12;22;26;33,7,2,5,4,no
2;12;22;26;36,2,12;22;26;36,7,2,5,4,no
2;12;22;26;42,2,12;22;26;42,8,3,5,5,no
2;12;22;26;55,2,12;22;26;55,7,2,5,3,no
2;12;22;26;72,2,12;22;26;72,7,2,5,4,no
2;12;22;26;86,2,12;22;26;86,7,2,5,4,no
2;12;22;33;36,2,12;22;33;36,7,2,5,5,no
2;12;22;33;42,2,12;22;33;42,8,3,5,5,no
2;12;22;33;55,2,12;22;33;55,7,2,5,4,no
2;12;22;33;72,2,12;22;33;72,7,2,5,5,no
2;12;22;33;86,2,12;22;33;86,7,2,5,5,no
2;12;22;36;42,2,12;22;36;42,8,3,5,5,no
2;12;22;36;55,2,12;22;36;55,7,2,5,4,no
2;12;22;36;72,2,12;22;36;72,7,2,5,5,no
2;12;22;36;86,2,12;22;36;86,7,2,5,5,no
2;12;22;42;55,2,12;22;42;55,8,3,5,5,no
2;12;22;42;72,2,12;22;42;72,8,3,5,6,no
2;12;22;42;86,2,12;22;42;86,8,3,5,6,no
2;12;22;55;72,2,12;22;55;72,7,2,5,4,no
2;12;22;55;86,2,12;22;55;86,7,2,5,4,no
2;12;22;72;86,2,12;22;72;86,7,2,5,4,no
2;12;26;33;36,2,12;26;33;36,6,1,5,5,no
2;12;26;33;42,2,12;26;33;42,7,2,5,5,no
2;12;26;33;55,2,12;26;33;55,6,1,5,4,no
2;12;26;33;72,2,12;26;33;72,6,1,5,5,no
2;12;26;33;86,2,12;26;33;86,6,1,5,5,no
2;12;26;36;42,2,12;26;36;42,7,2,5,5,no
2;12;26;36;55,2,12;26;36;55,6,1,5,4,no
2;12;26;36;72,2,12;26;36;72,6,1,5,5,no
2;12;26;36;86,2,12;26;36;86,6,1,5,5,no
2;12;26;42;55,2,12;26;42;55,7,2,5,5,no
2;12;26;42;72,2,12;26;42;72,7,2,5,6,no
2;12;26;42;86,2,12;26;42;86,7,2,5,6,no
2;12;26;55;72,2,12;26;55;72,6,1,5,4,no
2;12;26;55;86,2,12;26;55;86,6,1,5,4,no
