scenario_type,omitted,metric,status,observed,control_mean,control_median,control_interval_2_5,control_interval_97_5,simulations_at_least_observed,empirical_upper_tail,holm_adjusted_upper_tail,simulations,seed
baseline,none,anchor_incidences,robustness-primary,8,1.07676,1.0,0.0,3.0,0,9.99990000099999e-06,,100000,20260719
baseline,none,pairwise_shared_anchor_links,robustness-primary,3,0.15721,0.0,0.0,1.0,1150,0.011509884901150989,,100000,20260719
baseline,none,occupied_anchors,secondary,5,0.9321,1.0,0.0,3.0,0,9.99990000099999e-06,,100000,20260719
baseline,none,nodes_with_anchor,secondary,6,1.04339,1.0,0.0,3.0,1,1.999980000199998e-05,,100000,20260719
baseline,none,base12_palindromes,secondary,4,0.48735,0.0,0.0,2.0,41,0.0004199958000419996,,100000,20260719
leave_one_node_out,YHWH,anchor_incidences,robustness-primary,7,0.87974,1.0,0.0,3.0,1,1.999980000199998e-05,0.00023999760002399976,100000,20260719
leave_one_node_out,YHWH,pairwise_shared_anchor_links,robustness-primary,2,0.10162,0.0,0.0,1.0,743,0.007439925600743993,0.03719962800371997,100000,20260719
leave_one_node_out,YHWH,occupied_anchors,secondary,5,0.78418,1.0,0.0,2.0,0,9.99990000099999e-06,,100000,20260719
leave_one_node_out,YHWH,nodes_with_anchor,secondary,5,0.85337,1.0,0.0,3.0,12,0.00012999870001299986,,100000,20260719
leave_one_node_out,YHWH,base12_palindromes,secondary,3,0.40506,0.0,0.0,2.0,479,0.004799952000479995,,100000,20260719
leave_one_node_out,Yeshua,anchor_incidences,robustness-primary,5,0.87916,1.0,0.0,3.0,159,0.0015999840001599984,0.011199888001119988,100000,20260719
leave_one_node_out,Yeshua,pairwise_shared_anchor_links,robustness-primary,1,0.10076,0.0,0.0,1.0,8760,0.08760912390876091,0.08760912390876091,100000,20260719
leave_one_node_out,Yeshua,occupied_anchors,secondary,4,0.78413,1.0,0.0,2.0,39,0.0003999960000399996,,100000,20260719
leave_one_node_out,Yeshua,nodes_with_anchor,secondary,5,0.8533,1.0,0.0,3.0,11,0.00011999880001199988,,100000,20260719
leave_one_node_out,Yeshua,base12_palindromes,secondary,3,0.40624,0.0,0.0,2.0,467,0.004679953200467995,,100000,20260719
leave_one_node_out,Yeshua HaMashiach,anchor_incidences,robustness-primary,7,0.92276,1.0,0.0,3.0,1,1.999980000199998e-05,0.00023999760002399976,100000,20260719
leave_one_node_out,Yeshua HaMashiach,pairwise_shared_anchor_links,robustness-primary,2,0.11036,0.0,0.0,1.0,857,0.008579914200857991,0.03719962800371997,100000,20260719
leave_one_node_out,Yeshua HaMashiach,occupied_anchors,secondary,5,0.81942,1.0,0.0,2.0,0,9.99990000099999e-06,,100000,20260719
leave_one_node_out,Yeshua HaMashiach,nodes_with_anchor,secondary,5,0.89335,1.0,0.0,3.0,19,0.0001999980000199998,,100000,20260719
