source_index,source_name,source_hebrew,source_scope,variant_label,hebrew_variant,note,standard,mispar_gadol,base12_standard,base12_mispar_gadol,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base12_palindrome,mispar_base12_palindrome,final_letter_notes,interesting_hits,gained_against_original,lost_against_original
1,El,אל,literal-heading,original,אל,paper heading,31,31,27,27,4,4,9,9,no,no,,,,
2,Eloah,אלוה,literal-heading,original,אלוה,paper heading,42,42,36,36,6,6,9,9,no,no,,mg-constant-42:forty-two; std-constant-42:forty-two,,
2,Eloah,אלוה,literal-heading,add_ha_first_word,האלוה,mechanical addition of definite article to first word,47,47,3B,3B,11,11,5,5,no,no,,,,mg-constant-42:forty-two; std-constant-42:forty-two
2,Eloah,אלוה,literal-heading,add_initial_el,אל אלוה,mechanical addition of initial El before a single-word title,73,73,61,61,10,10,7,7,no,no,,,,mg-constant-42:forty-two; std-constant-42:forty-two
3,Elohim,אלהים,literal-heading,original,אלהים,paper heading,86,646,72,45A,5,7,9,10,no,no,,mg-base10-palindrome,,
3,Elohim,אלהים,literal-heading,add_ha_first_word,האלהים,mechanical addition of definite article to first word,91,651,77,463,10,12,5,4,yes,no,,mg-collapse-12; std-base12-palindrome,mg-collapse-12; std-base12-palindrome,mg-base10-palindrome
3,Elohim,אלהים,literal-heading,add_initial_el,אל אלהים,mechanical addition of initial El before a single-word title,117,677,99,485,9,2,9,8,yes,no,,mg-base12-collapse-8; std-base12-palindrome,mg-base12-collapse-8; std-base12-palindrome,mg-base10-palindrome
4,YHWH,יהוה,literal-heading,original,יהוה,paper heading,26,26,22,22,8,8,4,4,yes,yes,,mg-base12-22:YHWH-frame; mg-base12-palindrome; mg-collapse-8; mg-constant-26:YHWH-standard; std-base12-22:YHWH-frame; std-base12-palindrome; std-collapse-8; std-constant-26:YHWH-standard,,
4,YHWH,יהוה,literal-heading,add_ha_first_word,היהוה,mechanical addition of definite article to first word,31,31,27,27,4,4,9,9,no,no,,,,mg-base12-22:YHWH-frame; mg-base12-palindrome; mg-collapse-8; mg-constant-26:YHWH-standard; std-base12-22:YHWH-frame; std-base12-palindrome; std-collapse-8; std-constant-26:YHWH-standard
4,YHWH,יהוה,literal-heading,add_initial_el,אל יהוה,mechanical addition of initial El before a single-word title,57,57,49,49,12,12,4,4,no,no,,mg-collapse-12; std-collapse-12,mg-collapse-12; std-collapse-12,mg-base12-22:YHWH-frame; mg-base12-palindrome; mg-collapse-8; mg-constant-26:YHWH-standard; std-base12-22:YHWH-frame; std-base12-palindrome; std-collapse-8; std-constant-26:YHWH-standard
