source_decimal,source_base12,source_decimal_palindrome,source_prime,closure_base12,closure_decimal,closure_outer_digit_sum,closure_inner_digit_sum,closure_notation_digit_sum,closure_decimal_first_digit_sum,full_conjunction
144,100,no,no,1001,1729,2,0,2,19,no
157,111,no,yes,1111,1885,2,2,4,22,no
170,122,no,no,1221,2041,2,4,6,7,no
183,133,no,no,1331,2197,2,6,8,19,no
196,144,no,no,1441,2353,2,8,10,13,no
209,155,no,no,1551,2509,2,10,12,16,no
222,166,yes,no,1661,2665,2,12,14,19,no
235,177,no,no,1771,2821,2,14,16,13,no
248,188,no,no,1881,2977,2,16,18,25,no
261,199,no,no,1991,3133,2,18,20,10,no
274,1AA,no,no,1AA1,3289,2,20,22,22,no
287,1BB,no,no,1BB1,3445,2,22,24,16,no
288,200,no,no,2002,3458,4,0,4,20,no
301,211,no,no,2112,3614,4,2,6,14,no
314,222,no,no,2222,3770,4,4,8,17,no
327,233,no,no,2332,3926,4,6,10,20,no
340,244,no,no,2442,4082,4,8,12,14,no
353,255,yes,yes,2552,4238,4,10,14,17,no
366,266,no,no,2662,4394,4,12,16,20,no
379,277,no,yes,2772,4550,4,14,18,14,no
392,288,no,no,2882,4706,4,16,20,17,no
405,299,no,no,2992,4862,4,18,22,20,no
418,2AA,no,no,2AA2,5018,4,20,24,14,no
431,2BB,no,yes,2BB2,5174,4,22,26,17,no
432,300,no,no,3003,5187,6,0,6,21,no
445,311,no,no,3113,5343,6,2,8,15,no
458,322,no,no,3223,5499,6,4,10,27,no
471,333,no,no,3333,5655,6,6,12,21,no
484,344,yes,no,3443,5811,6,8,14,15,no
497,355,no,no,3553,5967,6,10,16,27,no
510,366,no,no,3663,6123,6,12,18,12,no
523,377,no,yes,3773,6279,6,14,20,24,no
536,388,no,no,3883,6435,6,16,22,18,no
549,399,no,no,3993,6591,6,18,24,21,no
562,3AA,no,no,3AA3,6747,6,20,26,24,no
575,3BB,yes,no,3BB3,6903,6,22,28,18,no
576,400,no,no,4004,6916,8,0,8,22,no
589,411,no,no,4114,7072,8,2,10,16,no
602,422,no,no,4224,7228,8,4,12,19,no
615,433,no,no,4334,7384,8,6,14,22,no
628,444,no,no,4444,7540,8,8,16,16,no
641,455,no,yes,4554,7696,8,10,18,28,no
654,466,no,no,4664,7852,8,12,20,22,no
667,477,no,no,4774,8008,8,14,22,16,no
680,488,no,no,4884,8164,8,16,24,19,no
693,499,no,no,4994,8320,8,18,26,13,no
706,4AA,no,no,4AA4,8476,8,20,28,25,no
719,4BB,no,yes,4BB4,8632,8,22,30,19,no
720,500,no,no,5005,8645,10,0,10,23,no
