psalm,verse_count_mt,word_count_oshb,word_count_base12,word_count_base12_palindrome,letter_count_oshb,letter_count_base12,letter_count_base12_palindrome,standard_value,standard_base12,standard_base12_palindrome,mispar_gadol_value,mispar_gadol_base12,mispar_gadol_base12_palindrome
1,6,67,57,no,248,188,no,16990,99BA,no,29760,15280,no
2,12,92,78,no,371,26B,no,22004,10898,no,33414,17406,no
3,9,70,5A,no,275,1AB,no,16692,97B0,no,23992,11A74,no
4,9,77,65,no,307,217,no,16806,9886,no,22506,11036,no
5,13,111,93,no,447,313,yes,26299,13277,no,44119,21647,no
6,11,84,70,no,331,237,no,19702,B49A,no,24052,11B04,no
7,18,142,BA,no,564,3B0,no,33111,171B3,no,53391,26A93,no
8,10,77,65,no,315,223,no,21243,10363,no,34803,18183,no
9,21,164,118,no,661,471,no,42177,204A9,no,65067,317A3,no
10,18,162,116,no,607,427,no,43432,21174,no,64152,31160,no
11,7,68,58,no,270,1A6,no,17321,A035,no,24231,12033,no
12,9,79,67,no,320,228,no,24436,12184,no,35446,1861A,no
13,6,55,47,no,210,156,no,11306,6662,no,16466,9642,no
14,7,73,61,no,266,1A2,no,15166,893A,no,24916,12504,no
15,5,55,47,no,191,13B,no,10774,629A,no,15114,88B6,no
16,11,97,81,no,370,26A,no,26050,130AA,no,40410,1B476,no
17,15,124,A4,no,548,398,no,38626,1A42A,no,59396,2A458,no
18,51,397,291,no,1615,B27,no,101638,4A99A,no,147338,71322,no
19,15,126,A6,no,509,365,no,33385,173A1,no,54355,27557,no
20,10,70,5A,no,306,216,no,16889,9935,no,27309,13979,no
21,14,104,88,yes,413,2A5,no,30582,15846,no,45892,22684,no
22,32,253,191,yes,1012,704,no,59640,2A620,no,81080,3AB08,no
23,6,57,49,no,219,163,no,13777,7B81,no,19727,B4BB,no
24,10,89,75,no,341,245,no,17375,A07B,no,26665,13521,no
25,22,159,113,no,633,449,no,35853,188B9,no,53583,27013,no
26,12,85,71,no,349,251,no,19504,B354,no,34664,18088,no
27,14,149,105,no,574,3BA,no,33314,17342,no,43664,21328,no
28,9,96,80,no,369,269,no,22287,10A93,no,39447,1A9B3,no
29,11,91,77,yes,351,253,no,15954,9296,no,26484,133B0,no
30,13,97,81,no,395,28B,no,23404,11664,no,32564,16A18,no
31,25,220,164,no,899,62B,no,57155,290AB,no,77125,38771,no
32,11,110,92,no,427,2B7,no,25023,12593,no,40293,1B399,no
33,22,161,115,no,614,432,no,34013,17825,no,51303,25833,no
34,23,165,119,no,668,478,no,42267,20563,no,55897,28421,no
35,28,229,171,yes,940,664,no,60816,2B240,no,83706,40536,no
36,13,100,84,no,386,282,yes,20674,BB6A,no,39704,1AB88,no
37,40,298,20A,no,1218,856,no,81984,3B540,no,126764,61438,no
38,23,168,120,no,671,47B,no,43681,21341,no,57111,29073,no
39,14,129,A9,no,494,352,no,32356,16884,no,44156,21678,no
40,18,185,135,no,753,529,no,52566,26506,no,70156,34724,no
41,14,119,9B,no,451,317,no,25612,129A4,no,36632,19248,no
42,12,132,B0,no,526,37A,no,29542,1511A,no,47602,2366A,no
43,5,59,4B,no,243,183,no,12609,7369,no,18539,A88B,no
44,27,198,146,no,826,58A,no,54718,277BA,no,83028,40070,no
45,18,160,114,no,640,454,yes,44151,21673,no,76321,38201,no
46,12,100,84,no,392,288,no,25142,12672,no,39952,1B154,no
47,10,77,65,no,297,209,no,15646,907A,no,29376,15000,no
48,15,111,93,no,454,31A,no,26701,13551,no,45621,22499,no
49,21,167,11B,no,631,447,no,36154,18B0A,no,57744,29500,no
50,23,178,12A,no,703,4A7,no,43380,21130,no,76040,38008,no
51,21,153,109,no,640,454,yes,42680,20848,no,65770,3208A,no
52,11,90,76,no,348,250,no,20228,B858,no,32258,16802,no
53,7,77,65,no,282,1B6,no,16129,9401,no,29159,14A5B,no
54,9,62,52,no,262,19A,no,15168,8940,no,22608,11100,no
55,24,192,140,no,778,54A,no,45293,22265,no,64643,314AB,no
56,14,120,A0,no,459,323,yes,25370,12822,no,44740,21A84,no
57,12,106,8A,no,419,2AB,no,23282,11582,no,43812,21430,no
58,12,100,84,no,385,281,no,27061,137B1,no,49161,24549,no
59,18,156,110,no,657,469,no,35013,18319,no,53033,26835,no
60,14,113,95,no,459,323,yes,32160,16740,no,48130,23A2A,no
61,9,68,58,no,261,199,no,17510,A172,no,28980,14930,no
62,13,117,99,yes,441,309,no,25112,12648,no,37522,1986A,no
63,12,93,79,no,365,265,no,23900,119B8,no,39880,1B0B4,no
