scope,left_rung,middle_rung,result_rung,decimal_equation,base12_equation,left_occupants,middle_occupants,result_occupants
core,1,2,3,13 + 26 = 39,11 + 22 = 33,Echad,YHWH,YHWH Echad
core,1,3,4,13 + 39 = 52,11 + 33 = 44,Echad,YHWH Echad,Elohei; BEN
core,1,4,5,13 + 52 = 65,11 + 44 = 55,Echad,Elohei; BEN,Adonai
core,2,3,5,26 + 39 = 65,22 + 33 = 55,YHWH,YHWH Echad,Adonai
core,2,5,7,26 + 65 = 91,22 + 55 = 77,YHWH,Adonai,Adonai YHWH; Amen lexical form
core,3,4,7,39 + 52 = 91,33 + 44 = 77,YHWH Echad,Elohei; BEN,Adonai YHWH; Amen lexical form
extended,1,2,3,13 + 26 = 39,11 + 22 = 33,Echad,YHWH,YHWH Echad
extended,1,3,4,13 + 39 = 52,11 + 33 = 44,Echad,YHWH Echad,Elohei; BEN
extended,1,4,5,13 + 52 = 65,11 + 44 = 55,Echad,Elohei; BEN,Adonai
extended,2,3,5,26 + 39 = 65,22 + 33 = 55,YHWH,YHWH Echad,Adonai
extended,2,5,7,26 + 65 = 91,22 + 55 = 77,YHWH,Adonai,Adonai YHWH; Amen lexical form
extended,2,7,9,26 + 91 = 117,22 + 77 = 99,YHWH,Adonai YHWH; Amen lexical form,Malakh YHWH
extended,2,9,11,26 + 117 = 143,22 + 99 = BB,YHWH,Malakh YHWH,Ben HaElohim defective
extended,3,4,7,39 + 52 = 91,33 + 44 = 77,YHWH Echad,Elohei; BEN,Adonai YHWH; Amen lexical form
extended,4,5,9,52 + 65 = 117,44 + 55 = 99,Elohei; BEN,Adonai,Malakh YHWH
extended,4,7,11,52 + 91 = 143,44 + 77 = BB,Elohei; BEN,Adonai YHWH; Amen lexical form,Ben HaElohim defective
