subset_size,additive_relation_count,frequency,proportion,observed_relation_count
6,0,4,0.008658008658008658,6
6,1,23,0.049783549783549784,6
6,2,98,0.21212121212121213,6
6,3,196,0.42424242424242425,6
6,4,114,0.24675324675324675,6
6,5,25,0.05411255411255411,6
6,6,2,0.004329004329004329,6
8,4,1,0.006060606060606061,10
8,5,1,0.006060606060606061,10
8,6,8,0.048484848484848485,10
8,7,19,0.11515151515151516,10
8,8,54,0.32727272727272727,10
8,9,51,0.3090909090909091,10
8,10,24,0.14545454545454545,10
8,11,5,0.030303030303030304,10
8,12,2,0.012121212121212121,10
