basis,reference,position,phrase,word_lengths,total_letters,final_form_count,value,base12,visible_square_root
standard,1Chr.1.36,6,וגעתם קנז,5-3,8,1,676,484,22
mispar-gadol,1Chr.3.1,7,לו בחברון,2-6,8,1,954,676,26
mispar-gadol,1Chr.3.4,3,לו בחברון,2-6,8,1,954,676,26
standard,1Chr.5.15,2,בן עבדיאל,2-6,8,1,169,121,11
standard,1Chr.5.15,3,עבדיאל בן,6-2,8,1,169,121,11
standard,1Chr.7.17,5,בני גלעד,3-4,7,0,169,121,11
mispar-gadol,1Chr.7.17,5,בני גלעד,3-4,7,0,169,121,11
standard,1Chr.7.39,1,ובני עלא,4-3,7,0,169,121,11
mispar-gadol,1Chr.7.39,1,ובני עלא,4-3,7,0,169,121,11
mispar-gadol,1Chr.9.25,2,בחצריהם לבוא,7-4,11,1,954,676,26
standard,1Chr.10.4,22,מאד ויקח,3-4,7,0,169,121,11
mispar-gadol,1Chr.10.4,22,מאד ויקח,3-4,7,0,169,121,11
standard,1Chr.10.5,7,ויפל גם,4-2,6,1,169,121,11
standard,1Chr.12.38,12,מלחמה מאה,5-3,8,0,169,121,11
mispar-gadol,1Chr.12.38,12,מלחמה מאה,5-3,8,0,169,121,11
standard,1Chr.13.1,4,שרי האלפים,3-6,9,1,676,484,22
standard,1Chr.13.2,4,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Chr.13.2,4,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Chr.15.1,9,האלהים ויט,6-3,9,1,676,484,22
standard,1Chr.17.17,11,כתור האדם,4-4,8,1,676,484,22
mispar-gadol,1Chr.17.23,6,על עבדך,2-4,6,1,676,484,22
mispar-gadol,1Chr.17.26,7,על עבדך,2-4,6,1,676,484,22
mispar-gadol,1Chr.19.14,7,ארם למלחמה,3-6,9,1,954,676,26
standard,1Chr.19.16,3,כי נגפו,2-4,6,0,169,121,11
mispar-gadol,1Chr.19.16,3,כי נגפו,2-4,6,0,169,121,11
standard,1Chr.19.19,4,כי נגפו,2-4,6,0,169,121,11
mispar-gadol,1Chr.19.19,4,כי נגפו,2-4,6,0,169,121,11
standard,1Chr.21.17,28,ובעמך לא,5-2,7,1,169,121,11
mispar-gadol,1Chr.21.30,7,אלהים כי,5-2,7,1,676,484,22
mispar-gadol,1Chr.22.16,1,לזהב לכסף,4-4,8,1,954,676,26
standard,1Chr.22.18,5,והניח לכם,5-3,8,1,169,121,11
standard,1Chr.23.4,9,אלף ושטרים,3-6,9,2,676,484,22
standard,1Chr.23.6,3,מחלקות לבני,6-4,10,0,676,484,22
mispar-gadol,1Chr.23.6,3,מחלקות לבני,6-4,10,0,676,484,22
standard,1Chr.26.26,13,האבות לשרי,5-4,9,0,954,676,26
mispar-gadol,1Chr.26.26,13,האבות לשרי,5-4,9,0,954,676,26
standard,1Chr.28.8,4,ישראל קהל,5-3,8,0,676,484,22
mispar-gadol,1Chr.28.8,4,ישראל קהל,5-3,8,0,676,484,22
standard,1Chr.29.2,19,אבני פוך,4-3,7,1,169,121,11
standard,1Chr.29.15,4,לפניך ותושבים,5-7,12,2,954,676,26
standard,1Kgs.1.4,2,יפה עד,3-2,5,0,169,121,11
mispar-gadol,1Kgs.1.4,2,יפה עד,3-2,5,0,169,121,11
standard,1Kgs.1.51,2,לשלמה לאמר,5-4,9,0,676,484,22
mispar-gadol,1Kgs.1.51,2,לשלמה לאמר,5-4,9,0,676,484,22
mispar-gadol,1Kgs.1.51,16,לי כיום,2-4,6,1,676,484,22
mispar-gadol,1Kgs.2.8,1,והנה עמך,4-3,7,1,676,484,22
standard,1Kgs.2.31,15,יואב מעלי,4-4,8,0,169,121,11
mispar-gadol,1Kgs.2.31,15,יואב מעלי,4-4,8,0,169,121,11
mispar-gadol,1Kgs.2.40,6,וילך גתה,4-3,7,1,954,676,26
standard,1Kgs.4.19,10,ועג מלך,3-3,6,1,169,121,11
mispar-gadol,1Kgs.5.11,13,בכל הגוים,3-5,8,1,676,484,22
mispar-gadol,1Kgs.5.15,13,משחו למלך,4-4,8,1,954,676,26
standard,1Kgs.6.5,10,סביב להיכל,4-5,9,0,169,121,11
mispar-gadol,1Kgs.6.5,10,סביב להיכל,4-5,9,0,169,121,11
standard,1Kgs.6.24,15,ועד קצות,3-4,7,0,676,484,22
mispar-gadol,1Kgs.6.24,15,ועד קצות,3-4,7,0,676,484,22
standard,1Kgs.7.7,1,ואולם הכסא,5-4,9,1,169,121,11
standard,1Kgs.7.17,10,ראש העמודים,3-7,10,1,676,484,22
