reference,token,sequence_position,prefix,sequence,suffix,lemma,base_lemma,morphology,lexical_class,source_file
1Chr.5.30,אבישוע,3,אב,ישוע,,50,50,HNp,Abishua-proper-name,1Chr.xml
1Chr.5.31,ואבישוע,4,ואב,ישוע,,c/50,50,HC/Np,Abishua-proper-name,1Chr.xml
1Chr.6.35,אבישוע,3,אב,ישוע,,50,50,HNp,Abishua-proper-name,1Chr.xml
1Chr.8.4,ואבישוע,4,ואב,ישוע,,c/50,50,HC/Np,Abishua-proper-name,1Chr.xml
1Chr.14.5,ואלישוע,4,ואל,ישוע,,c/474,474,HC/Np,Elishua-proper-name,1Chr.xml
1Chr.16.23,ישועתו,1,,ישוע,תו,3444,3444,HNcfsc/Sp3ms,salvation-noun,1Chr.xml
1Chr.24.11,לישוע,2,ל,ישוע,,l/3442,3442,HR/Np,Jeshua-proper-name,1Chr.xml
1Sam.2.1,בישועתך,2,ב,ישוע,תך,b/3444,3444,HR/Ncfsc/Sp2ms,salvation-noun,1Sam.xml
1Sam.14.45,הישועה,2,ה,ישוע,ה,d/3444,3444,HTd/Ncfsa,salvation-noun,1Sam.xml
2Chr.20.17,ישועת,1,,ישוע,ת,3444,3444,HNcfsc,salvation-noun,2Chr.xml
2Chr.31.15,וישוע,2,ו,ישוע,,c/3442,3442,HC/Np,Jeshua-proper-name,2Chr.xml
2Sam.5.15,ואלישוע,4,ואל,ישוע,,c/474,474,HC/Np,Elishua-proper-name,2Sam.xml
2Sam.10.11,לישועה,2,ל,ישוע,ה,l/3467,3467,HR/Ncfsa,deliverance-related-form,2Sam.xml
2Sam.22.51,ישועות,1,,ישוע,ות,3444,3444,HNcfpc,salvation-noun,2Sam.xml
Exod.14.13,ישועת,1,,ישוע,ת,3444,3444,HNcfsc,salvation-noun,Exod.xml
Exod.15.2,לישועה,2,ל,ישוע,ה,l/3444,3444,HR/Ncfsa,salvation-noun,Exod.xml
Ezra.2.2,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.2.6,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.2.36,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.2.40,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.3.2,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.3.8,וישוע,2,ו,ישוע,,c/3442,3442,HC/Np,Jeshua-proper-name,Ezra.xml
Ezra.3.9,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.4.3,וישוע,2,ו,ישוע,,c/3442,3442,HC/Np,Jeshua-proper-name,Ezra.xml
Ezra.5.2,וישוע,2,ו,ישוע,,c/3443,3443,AC/Np,proper-name-variant,Ezra.xml
Ezra.7.5,אבישוע,3,אב,ישוע,,50,50,HNp,Abishua-proper-name,Ezra.xml
Ezra.8.33,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Ezra.10.18,ישוע,1,,ישוע,,3442,3442,HNp,Jeshua-proper-name,Ezra.xml
Gen.49.18,לישועתך,2,ל,ישוע,תך,l/3444,3444,HR/Ncfsc/Sp2ms,salvation-noun,Gen.xml
Hab.3.8,ישועה,1,,ישוע,ה,3444,3444,HNcfsa,salvation-noun,Hab.xml
